osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1335191,170,91263,"El Encanto",AMA,,665774,el.encanto,CO-AMA-ElEncanto,,
1335172,170,91405,"La Chorrera",AMA,,1654959,la.chorrera,CO-AMA-LaChorrera,,
3718640,170,91407,"La Pedrera",AMA,,2423679,la.pedrera,CO-AMA-LaPedrera,,
1335182,170,91430,"La Victoria",AMA,,1821133,la.victoria,CO-AMA-LaVictoria,,
1335174,170,91001,Leticia,AMA,,214913,leticia,CO-AMA-Leticia,,"{""area_sr"": 0.49823, ""area_km2"": 6121, ""boundary"": ""administrative"", ""objectid"": 3579, ""DANE:area"": 5829.00, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""CAP. DEPTO"", ""admin_level"": 6, ""is_in:state"": ""Amazonas"", ""side_estim_km"": 78.2, ""side_estim_deg"": 0.7059, ""DANE:departamento"": 91, ""elongation_factor"": 1.72}"
1335187,170,91460,Mirití-Paraná,AMA,,1654918,miriti.parana,CO-AMA-MiritiParana,,
1335170,170,91530,"Puerto Alegría",AMA,,1654802,puerto.alegria,CO-AMA-PuertoAlegria,,"{""area_sr"": 0.68336, ""area_km2"": 8410, ""boundary"": ""administrative"", ""objectid"": 3575, ""DANE:area"": 8394.00, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""Corregimiento Departamental"", ""admin_level"": 6, ""is_in:state"": ""Amazonas"", ""side_estim_km"": 91.7, ""side_estim_deg"": 0.8267, ""DANE:departamento"": 91, ""elongation_factor"": 2.04}"
1335190,170,91536,"Puerto Arica",AMA,,2243950,puerto.arica,CO-AMA-PuertoArica,,"{""area_sr"": 1.10689, ""area_km2"": 13617, ""boundary"": ""administrative"", ""objectid"": 3577, ""DANE:area"": 13350.00, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""Corregimiento Departamental"", ""admin_level"": 6, ""is_in:state"": ""Amazonas"", ""side_estim_km"": 116.7, ""side_estim_deg"": 1.0521, ""DANE:departamento"": 91, ""elongation_factor"": 2.69}"
1335169,170,91540,"Puerto Nariño",AMA,,,puerto.narino,CO-AMA-PuertoNarino,,"{""area_sr"": 0.12185, ""area_km2"": 1497, ""boundary"": ""administrative"", ""objectid"": 3580, ""DANE:area"": 1475.00, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Amazonas"", ""side_estim_km"": 38.7, ""side_estim_deg"": 0.3491, ""DANE:departamento"": 91, ""elongation_factor"": 2.03}"
1335167,170,91669,"Puerto Santander",AMA,,2433464,puerto.santander,CO-AMA-PuertoSantander,,
1335184,170,91798,Tarapacá,AMA,,1654901,tarapaca,CO-AMA-Tarapaca,,
