osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1353027,170,25001,"Agua de Dios",CUN,,1525734,agua.dios,CO-CUN-AguaDios,,"{""area_sr"": 0.00702, ""area_km2"": 86, ""boundary"": ""administrative"", ""objectid"": 4363, ""DANE:area"": 87.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Agua de Dios"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cundinamarca"", ""side_estim_km"": 9.3, ""side_estim_deg"": 0.0838, ""DANE:departamento"": 25, ""elongation_factor"": 1.7, ""sys_housenumbering"": ""street-metric""}"
1355693,170,25019,Albán,CUN,,1576197,alban,CO-CUN-Alban,,"{""area_sr"": 0.00436, ""area_km2"": 53, ""boundary"": ""administrative"", ""objectid"": 4377, ""DANE:area"": 53.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Albán (Cundinamarca)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cundinamarca"", ""side_estim_km"": 7.3, ""side_estim_deg"": 0.066, ""DANE:departamento"": 25, ""elongation_factor"": 2.81, ""sys_housenumbering"": ""street-metric""}"
1412973,170,25035,Anapoima,CUN,,1577095,anapoima,CO-CUN-Anapoima,,"{""area_sr"": 0.01007, ""area_km2"": 124, ""boundary"": ""administrative"", ""objectid"": 3844, ""DANE:area"": 130.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Anapoima"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cundinamarca"", ""side_estim_km"": 11.1, ""side_estim_deg"": 0.1003, ""DANE:departamento"": 25, ""elongation_factor"": 2.21, ""sys_housenumbering"": ""street-metric""}"
1355853,170,25040,Anolaima,CUN,,1524766,anolaima,CO-CUN-Anolaima,,"{""area_sr"": 0.00977, ""area_km2"": 120, ""boundary"": ""administrative"", ""objectid"": 4375, ""DANE:area"": 122.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Anolaima"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cundinamarca"", ""side_estim_km"": 10.9, ""side_estim_deg"": 0.0988, ""DANE:departamento"": 25, ""elongation_factor"": 1.48, ""sys_housenumbering"": ""street-metric""}"
1353248,170,25599,Apulo,CUN,,1574840,apulo,CO-CUN-Apulo,,"{""area_sr"": 0.00971, ""area_km2"": 119, ""boundary"": ""administrative"", ""objectid"": 4364, ""DANE:area"": 119.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Apulo"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cundinamarca"", ""side_estim_km"": 10.9, ""side_estim_deg"": 0.0985, ""DANE:departamento"": 25, ""elongation_factor"": 2.49, ""sys_housenumbering"": ""street-metric""}"
1414794,170,25053,Arbeláez,CUN,,925824,arbelaez,CO-CUN-Arbelaez,,"{""area_sr"": 0.01202, ""area_km2"": 148, ""boundary"": ""administrative"", ""objectid"": 3832, ""DANE:area"": 162.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Arbeláez"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cundinamarca"", ""side_estim_km"": 12.1, ""side_estim_deg"": 0.1096, ""DANE:departamento"": 25, ""elongation_factor"": 2.79, ""sys_housenumbering"": ""street-metric""}"
1353371,170,25086,Beltrán,CUN,,432570,beltran,CO-CUN-Beltran,,"{""area_sr"": 0.01475, ""area_km2"": 181, ""boundary"": ""administrative"", ""objectid"": 4355, ""DANE:area"": 211.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Beltrán (Cundinamarca)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cundinamarca"", ""side_estim_km"": 13.5, ""side_estim_deg"": 0.1215, ""DANE:departamento"": 25, ""elongation_factor"": 2.8, ""sys_housenumbering"": ""street-metric""}"
1353401,170,25095,Bituima,CUN,,1655019,bituima,CO-CUN-Bituima,,"{""area_sr"": 0.00508, ""area_km2"": 62, ""boundary"": ""administrative"", ""objectid"": 4354, ""DANE:area"": 61.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Bituima"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cundinamarca"", ""side_estim_km"": 7.9, ""side_estim_deg"": 0.0713, ""DANE:departamento"": 25, ""elongation_factor"": 2.5, ""sys_housenumbering"": ""street-metric""}"
1356077,170,25099,Bojacá,CUN,,1577083,bojaca,CO-CUN-Bojaca,,"{""area_sr"": 0.00814, ""area_km2"": 100, ""boundary"": ""administrative"", ""objectid"": 4374, ""DANE:area"": 106.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Bojacá"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cundinamarca"", ""side_estim_km"": 10, ""side_estim_deg"": 0.0902, ""DANE:departamento"": 25, ""elongation_factor"": 1.96, ""sys_housenumbering"": ""street-metric""}"
1415409,170,25120,Cabrera,CUN,,922111,cabrera,CO-CUN-Cabrera,,"{""area_sr"": 0.03477, ""area_km2"": 427, ""boundary"": ""administrative"", ""objectid"": 3834, ""DANE:area"": 449.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Cabrera (Cundinamarca)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cundinamarca"", ""side_estim_km"": 20.7, ""side_estim_deg"": 0.1865, ""DANE:departamento"": 25, ""elongation_factor"": 1.77, ""sys_housenumbering"": ""street-metric""}"
