osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1309480,170,66045,Apía,RIS,,1525318,apia,CO-RIS-Apia,,"{""area_sr"": 0.01207, ""area_km2"": 148, ""boundary"": ""administrative"", ""objectid"": 4057, ""DANE:area"": 175.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Apía"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Risaralda"", ""side_estim_km"": 12.2, ""side_estim_deg"": 0.1099, ""DANE:departamento"": 66, ""elongation_factor"": 2.31}"
1348334,170,66075,Balboa,RIS,,634563,balboa,CO-RIS-Balboa,,"{""area_sr"": 0.00976, ""area_km2"": 120, ""boundary"": ""administrative"", ""objectid"": 4396, ""DANE:area"": 138.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Balboa (Risaralda)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Risaralda"", ""side_estim_km"": 10.9, ""side_estim_deg"": 0.0988, ""DANE:departamento"": 66, ""elongation_factor"": 1.42}"
4079108,170,66088,"Belén de Umbría",RIS,,,belen.umbria,CO-RIS-BelenUmbria,,
1347548,170,66170,Dosquebradas,RIS,,1093584,dosquebradas,CO-RIS-Dosquebradas,,"{""area_sr"": 0.00561, ""area_km2"": 69, ""boundary"": ""administrative"", ""objectid"": 4394, ""DANE:area"": 80.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Dosquebradas"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Risaralda"", ""wikipedia:en"": ""Dosquebradas"", ""side_estim_km"": 8.3, ""side_estim_deg"": 0.0749, ""DANE:departamento"": 66, ""elongation_factor"": 1.37}"
1343023,170,66318,Guática,RIS,,1526252,guatica,CO-RIS-Guatica,,"{""area_sr"": 0.00813, ""area_km2"": 100, ""boundary"": ""administrative"", ""objectid"": 3484, ""DANE:area"": 114.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Guática"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Risaralda"", ""side_estim_km"": 10, ""side_estim_deg"": 0.0902, ""elongation_factor"": 1.62}"
4079109,170,66383,"La Celia",RIS,,,la.celia,CO-RIS-LaCelia,,
1348326,170,66400,"La Virginia",RIS,,2310853,la.virginia,CO-RIS-LaVirginia,,"{""area_sr"": 0.00266, ""area_km2"": 33, ""boundary"": ""administrative"", ""objectid"": 4395, ""DANE:area"": 38.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:La Virginia"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Risaralda"", ""side_estim_km"": 5.7, ""side_estim_deg"": 0.0516, ""DANE:departamento"": 66, ""elongation_factor"": 1.58}"
1309479,170,66440,Marsella,RIS,,1441429,marsella,CO-RIS-Marsella,,"{""area_sr"": 0.01205, ""area_km2"": 148, ""boundary"": ""administrative"", ""objectid"": 4056, ""DANE:area"": 173.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Marsella (Risaralda)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Risaralda"", ""side_estim_km"": 12.2, ""side_estim_deg"": 0.1098, ""DANE:departamento"": 66, ""elongation_factor"": 1.91}"
1343033,170,66456,Mistrató,RIS,,923166,mistrato,CO-RIS-Mistrato,,"{""area_sr"": 0.04565, ""area_km2"": 559, ""boundary"": ""administrative"", ""objectid"": 3483, ""DANE:area"": 755.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Mistrató"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Risaralda"", ""side_estim_km"": 23.7, ""side_estim_deg"": 0.2137, ""elongation_factor"": 1.6}"
1343043,170,66001,Pereira,RIS,,,pereira,CO-RIS-Pereira,,
