osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1303962,170,91,Amazonas,CO,AMA,44724,amazonas,CO-AMA,,"{""area_sr"": 8.84949, ""area_km2"": 108879, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 330, ""side_estim_deg"": 2.9748, ""elongation_factor"": 2.9}"
1315120,170,5,Antioquia,CO,ANT,123304,antioquia,CO-ANT,,"{""area_sr"": 5.16606, ""area_km2"": 63133, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 251.3, ""side_estim_deg"": 2.2729, ""elongation_factor"": 2.9}"
1388045,170,81,Arauca,CO,ARA,230223,arauca,CO-ARA,,"{""area_sr"": 1.94133, ""area_km2"": 23743, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 154.1, ""side_estim_deg"": 1.3933, ""elongation_factor"": 2.19}"
2181889,170,26855,"Archipiélago de San Andrés, Providencia y Santa Catalina",CO,SAP,26855,"archipielago.san.andres,.providencia.y.santa.catalina",CO-SAP,,"{""area_sr"": 0.06089, ""area_km2"": 728, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 27, ""side_estim_deg"": 0.2468, ""elongation_factor"": 12.97}"
1315209,170,8,Atlántico,CO,ATL,230882,atlantico,CO-ATL,,"{""area_sr"": 0.27585, ""area_km2"": 3338, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 57.8, ""side_estim_deg"": 0.5252, ""elongation_factor"": 1.48}"
1316581,170,13,Bolívar,CO,BOL,230597,bolivar,CO-BOL,,"{""area_sr"": 2.19416, ""area_km2"": 26699, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 163.4, ""side_estim_deg"": 1.4813, ""elongation_factor"": 3.69}"
1390144,170,15,Boyacá,CO,BOY,121233,boyaca,CO-BOY,,"{""area_sr"": 1.89712, ""area_km2"": 23235, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 152.4, ""side_estim_deg"": 1.3774, ""elongation_factor"": 3.76}"
396705,170,17,Caldas,CO,CAL,230607,caldas,CO-CAL,,"{""area_sr"": 0.60566, ""area_km2"": 7424, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 86.2, ""side_estim_deg"": 0.7782, ""elongation_factor"": 2.77}"
1394843,170,18,Caquetá,CO,CAQ,13985,caqueta,CO-CAQ,,"{""area_sr"": 7.31733, ""area_km2"": 90053, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 300.1, ""side_estim_deg"": 2.7051, ""elongation_factor"": 2.47}"
1392025,170,85,Casanare,CO,CAS,13984,casanare,CO-CAS,,"{""area_sr"": 3.60738, ""area_km2"": 44210, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 210.3, ""side_estim_deg"": 1.8993, ""elongation_factor"": 1.97}"
1392085,170,19,Cauca,CO,CAU,230602,cauca,CO-CAU,,"{""area_sr"": 2.52682, ""area_km2"": 31075, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 176.3, ""side_estim_deg"": 1.5896, ""elongation_factor"": 2.67}"
1317223,170,20,Cesar,CO,CES,234916,cesar,CO-CES,,"{""area_sr"": 1.86263, ""area_km2"": 22617, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 150.4, ""side_estim_deg"": 1.3648, ""elongation_factor"": 2.86}"
1322131,170,27,Chocó,CO,CHO,230584,choco,CO-CHO,,"{""area_sr"": 3.91668, ""area_km2"": 47950, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 219, ""side_estim_deg"": 1.9791, ""elongation_factor"": 3.3}"
1305533,170,25,Cundinamarca,CO,CUN,232564,cundinamarca,CO-CUN,,"{""area_sr"": 1.82152, ""area_km2"": 22343, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 149.5, ""side_estim_deg"": 1.3496, ""elongation_factor"": 3.01}"
1321032,170,23,Córdoba,CO,COR,234912,cordoba,CO-COR,,"{""area_sr"": 2.04436, ""area_km2"": 24903, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 157.8, ""side_estim_deg"": 1.4298, ""elongation_factor"": 1.85}"
1385038,170,94,Guainía,CO,GUA,238645,guainia,CO-GUA,,"{""area_sr"": 5.75541, ""area_km2"": 70762, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 266, ""side_estim_deg"": 2.399, ""elongation_factor"": 2.69}"
1380540,170,95,Guaviare,CO,GUV,272885,guaviare,CO-GUV,,"{""area_sr"": 4.50802, ""area_km2"": 55457, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 235.5, ""side_estim_deg"": 2.1232, ""elongation_factor"": 2.57}"
1396291,170,41,Huila,CO,HUI,234920,huila,CO-HUI,,"{""area_sr"": 1.48333, ""area_km2"": 18240, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 135.1, ""side_estim_deg"": 1.2179, ""elongation_factor"": 2.9}"
1321379,170,44,"La Guajira",CO,LAG,272747,la.guajira,CO-LAG,,"{""area_sr"": 1.70653, ""area_km2"": 20596, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 143.5, ""side_estim_deg"": 1.3063, ""elongation_factor"": 2.75}"
1319097,170,47,Magdalena,CO,MAG,199910,magdalena,CO-MAG,,"{""area_sr"": 1.90203, ""area_km2"": 23047, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 151.8, ""side_estim_deg"": 1.3791, ""elongation_factor"": 2.34}"
1305166,170,50,Meta,CO,MET,238629,meta,CO-MET,,"{""area_sr"": 6.95132, ""area_km2"": 85416, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 292.3, ""side_estim_deg"": 2.6365, ""elongation_factor"": 2.19}"
1380130,170,52,Nariño,CO,NAR,230217,narino,CO-NAR,,"{""area_sr"": 2.53733, ""area_km2"": 31219, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 176.7, ""side_estim_deg"": 1.5929, ""elongation_factor"": 2.31}"
1324192,170,54,"Norte de Santander",CO,NSA,233058,norte.santander,CO-NSA,,"{""area_sr"": 1.78786, ""area_km2"": 21792, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 147.6, ""side_estim_deg"": 1.3371, ""elongation_factor"": 2.53}"
1375357,170,86,Putumayo,CO,PUT,232953,putumayo,CO-PUT,,"{""area_sr"": 2.10635, ""area_km2"": 25926, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 161, ""side_estim_deg"": 1.4513, ""elongation_factor"": 3.19}"
1331230,170,63,Quindío,CO,QUI,13995,quindio,CO-QUI,,"{""area_sr"": 0.15766, ""area_km2"": 1935, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 44, ""side_estim_deg"": 0.3971, ""elongation_factor"": 2.13}"
1374221,170,66,Risaralda,CO,RIS,13993,risaralda,CO-RIS,,"{""area_sr"": 0.2915, ""area_km2"": 3574, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 59.8, ""side_estim_deg"": 0.5399, ""elongation_factor"": 2.96}"
